INEQ(GINI),ALL 8 ,CRIME MATCH INEQ?!,G.N.I. MATCH?!,HEALTHCARE MATCH?!,HOMICIDE MATCH,UNEMPLOY,TERROR,VACCINE,CRIME,G.N.I,HEALTHCARE,HOMICIDE,UNEMPLOY,TERROR,VACCINE
Kiribati,4,FALSE,TRUE,TRUE,,,,,Portugal,Lithuania,Malaysia,Martinique,Mali,Macao,Nauru
Macao,4,FALSE,TRUE,FALSE,,,,,South Korea,Micronesia (country),Morocco,Mozambique,Netherlands,Montenegro,Panama
Madagascar,4,FALSE,TRUE,TRUE,,,,,Spain,Moldova,Mozambique,Myanmar,New Caledonia,Morocco,Papua New Guinea
Mali,4,FALSE,TRUE,TRUE,,,,,Switzerland,Mozambique,Nepal,New Caledonia,Nigeria,Nepal,Poland
Micronesia (country),4,FALSE,TRUE,TRUE,,,,,Tunisia,New Zealand,Niue,Northern Ireland,Panama,Niger,Saint Kitts and Nevis
North Korea,4,TRUE,FALSE,FALSE,,,,,,Qatar,Saint Lucia,Russia,Serbia,Rwanda,Suriname
Palau,4,FALSE,TRUE,TRUE,,,,,,Saint Lucia,Saudi Arabia,Saint Martin (French part),Solomon Islands,Serbia,Tanzania
Palestine,4,TRUE,TRUE,FALSE,,,,,,Saint Vincent and the Grenadines,Senegal,Saint Pierre and Miquelon,Somalia,Serbia and Montenegro,Thailand
Puerto Rico,4,TRUE,TRUE,FALSE,,,,,,Sierra Leone,South Africa,Seychelles,Sweden,South Africa,Uganda
San Marino,4,FALSE,TRUE,TRUE,,,,,,Spain,Syria,Sri Lanka,Tunisia,Switzerland,Vietnam
Somalia,4,TRUE,TRUE,FALSE,,,,,,Trinidad and Tobago,Ukraine,Turkmenistan,Vietnam,Ukraine,
South Sudan,4,FALSE,FALSE,TRUE,,,,,,Turkmenistan,United States,Uganda,Zimbabwe,United States,
Tuvalu,4,FALSE,TRUE,TRUE,,,,,,,,,,,
French Polynesia,3,FALSE,FALSE,FALSE,,,,,Lebanon,Ghana,Grenada,Guatemala,Guinea-Bissau,Grenada,Israel
Kosovo,3,FALSE,TRUE,FALSE,,,,,Puerto Rico,Luxembourg,Maldives,Mauritania,Malta,Macedonia,Nepal
